ARC DT

Sales - Date wise
From Date:,08/01/2019
To Date:,31/08/2019
InvoiceDate,Goods Value(Sales) (Rs.),Goods Value (First Sale) (Rs.),Goods Value (Second Sale) (Rs.),Goods Value(Sales Return Damages) (Rs.),Goods Value(Sales Return Saleable) (Rs.),Total Tax Suffered (Rs.),Productwise Discount (Rs.),Total Discount (Rs.),Total Tax Applicable (Rs.),Total LT on FS (Rs.),Total CT on FS (Rs.),Total LT on SS (Rs.),LTSS ADDL CESS (Rs.),LTSS CESS (Rs.),LTSS CGST (Rs.),LTSS SGST (Rs.),Total CT on SS (Rs.),Net Sales (Rs.),Invoice ID,Doc Reference,Type,Goods Value (Rs.),Goods Value (First Sale) (Rs.),Goods Value (Second Sale) (Rs.),Tax Suffered (Rs.),Productwise Discount (Rs.),Discount (Rs.),Tax Applicable (Rs.),Total LT on FS (Rs.),Total CT on FS (Rs.),Total LT on SS (Rs.),LTSS CESS (Rs.),LTSS CGST (Rs.),LTSS SGST (Rs.),LTSS ADDL CESS (Rs.),Total CT on SS (Rs.),Net Sales (Rs.)
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I8,I/19-20/8,Invoice,7607.92,,7607.92,,0.00,0.00,10546.84,,,10546.84,2170.62,1065.11,1065.11,6246.00,,18154.76
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I9,I/19-20/9,Invoice,24358.75,,24358.75,,0.00,0.00,25254.39,,,25254.38,1217.94,3410.22,3410.22,17216.00,,49613.13
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I10,I/19-20/10,Invoice,9301.11,,9301.11,,0.00,0.00,10639.37,,,10639.36,465.06,1302.15,1302.15,7570.00,,19940.47
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I11,I/19-20/11,Invoice,22369.42,,22369.42,,0.00,0.00,26019.57,,,26019.56,4015.83,3131.72,3131.72,15740.30,,48388.99
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I12,I/19-20/12,Invoice,8762.91,,8762.91,,0.00,0.00,12120.03,,,12120.03,2586.41,1226.81,1226.81,7080.00,,20882.92
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I14,I/19-20/14,Invoice,21035.71,,21035.71,,0.00,0.00,25183.53,,,25183.53,4632.23,2945.00,2945.00,14661.30,,46219.25
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I15,I/19-20/15,Invoice,13699.09,,13699.09,,0.00,0.00,15204.70,,,15204.70,684.95,1917.87,1917.87,10684.00,,28903.80
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I18,I/19-20/18,Invoice,11702.76,,11702.76,,0.00,0.00,13634.55,,,13634.55,1659.27,1638.39,1638.39,8698.50,,25337.30
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I22,I/19-20/22,Invoice,22404.07,,22404.07,,0.00,0.00,27432.25,,,27432.25,4342.61,3136.57,3136.57,16816.50,,49836.33
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I23,I/19-20/23,Invoice,21906.63,,21906.63,,0.00,0.00,26565.59,,,26565.60,4317.74,3066.93,3066.93,16114.00,,48472.23
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I13,I/19-20/13,Invoice,22039.69,,22039.69,,0.00,0.00,27900.77,,,27900.78,6472.66,3085.56,3085.56,15257.00,,49940.46
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I16,I/19-20/16,Invoice,17968.31,,17968.31,,0.00,0.00,21803.54,,,21803.54,898.42,2515.56,2515.56,15874.00,,39771.85
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,I19,I/19-20/19,Invoice,15522.02,,15522.02,,0.00,0.00,18471.04,,,18471.05,2924.37,2173.08,2173.08,11200.50,,33993.06
09/08/2019,345745.28,,345745.28,0.00,0.00,0.00,1736.83,0.00,384763.81,,,384763.91,240917.90,52373.75,45736.08,45736.08,,728772.23,GrandTotal:,,,345745.28,0.00,345745.28,0.00,1736.83,0.00,384763.81,0.00,0.00,384763.91,52373.75,45736.08,45736.08,240917.90,0.00,728772.23
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I24,I/19-20/24,Invoice,16761.95,,16761.95,,0.00,0.00,18540.62,,,18540.62,2270.28,2346.67,2346.67,11577.00,,35302.59
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I25,I/19-20/25,Invoice,48404.51,,48404.51,,0.00,0.00,60912.06,,,60912.06,11306.20,6776.63,6776.63,36052.60,,109316.57
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I26,I/19-20/26,Invoice,22186.13,,22186.13,,0.00,0.00,26811.87,,,26811.88,4689.76,3106.06,3106.06,15910.00,,48998.00
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I27,I/19-20/27,Invoice,22812.71,,22812.71,,0.00,0.00,27018.64,,,27018.65,4721.08,3193.78,3193.78,15910.00,,49831.35
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I33,I/19-20/33,Invoice,20789.71,,20789.71,,0.00,0.00,28317.41,,,28317.42,7484.29,2910.56,2910.56,15012.00,,49107.12
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I34,I/19-20/34,Invoice,24729.66,,24729.66,,0.00,0.00,23087.83,,,23087.83,1594.53,3462.15,3462.15,14569.00,,47817.49
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I35,I/19-20/35,Invoice,33423.89,,33423.89,,0.00,0.00,38765.25,,,38765.25,5936.46,4679.34,4679.34,23470.10,,72189.13
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I28,I/19-20/28,Invoice,2987.99,,2987.99,,0.00,0.00,4254.08,,,4254.08,507.44,418.32,418.32,2910.00,,7242.06
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I29,I/19-20/29,Invoice,22860.21,,22860.21,,0.00,0.00,26023.73,,,26023.73,4007.37,3200.43,3200.43,15615.50,,48883.94
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I30,I/19-20/30,Invoice,15488.76,,15488.76,,0.00,0.00,19896.16,,,19896.16,2922.71,2168.43,2168.43,12636.60,,35384.91
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I31,I/19-20/31,Invoice,20990.76,,20990.76,,0.00,0.00,28959.63,,,28959.62,6420.21,2938.71,2938.71,16662.00,,49950.39
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I32,I/19-20/32,Invoice,24103.96,,24103.96,,0.00,0.00,25636.13,,,25636.14,2995.42,3374.55,3374.55,15891.60,,49740.09
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I38,I/19-20/38,Invoice,21613.30,,21613.30,,0.00,0.00,27172.24,,,27172.25,4661.11,3025.86,3025.86,16459.40,,48785.54
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I47,I/19-20/47,Invoice,25932.14,,25932.14,,0.00,0.00,23666.11,,,23666.11,1296.61,3630.50,3630.50,15108.50,,49598.25
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I48,I/19-20/48,Invoice,8432.61,,8432.61,,0.00,0.00,9685.45,,,9685.45,1137.72,1180.56,1180.56,6186.60,,18118.05
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I49,I/19-20/49,Invoice,20468.72,,20468.72,,0.00,0.00,19209.88,,,19209.87,1023.44,2865.62,2865.62,12455.20,,39678.59
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I50,I/19-20/50,Invoice,11832.06,,11832.06,,0.00,0.00,15237.20,,,15237.21,2381.83,1656.49,1656.49,9542.40,,27069.27
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I51,I/19-20/51,Invoice,55501.85,,55501.85,,0.00,0.00,65550.63,,,65550.63,8462.11,7770.26,7770.26,41548.00,,121052.48
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,I37,I/19-20/37,Invoice,13518.97,,13518.97,,0.00,0.00,15449.26,,,15449.26,675.95,1892.66,1892.66,10988.00,,28968.23
10/08/2019,432839.88,,432839.88,0.00,0.00,0.00,0.00,0.00,504194.18,,,504194.22,308504.50,74494.52,60597.58,60597.58,,937034.05,GrandTotal:,,,432839.88,0.00,432839.88,0.00,0.00,0.00,504194.18,0.00,0.00,504194.22,74494.52,60597.58,60597.58,308504.50,0.00,937034.05
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I56,I/19-20/56,Invoice,24729.66,,24729.66,,0.00,0.00,23087.83,,,23087.83,1594.53,3462.15,3462.15,14569.00,,47817.49
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I57,I/19-20/57,Invoice,20789.71,,20789.71,,0.00,0.00,28317.41,,,28317.41,7484.29,2910.56,2910.56,15012.00,,49107.12
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I61,I/19-20/61,Invoice,5583.94,,5583.94,,0.00,0.00,6638.29,,,6638.29,995.29,781.75,781.75,4079.50,,12222.23
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I58,I/19-20/58,Invoice,10309.65,,10309.65,,0.00,0.00,13301.45,,,13301.46,2663.75,1443.35,1443.35,7751.00,,23611.10
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I59,I/19-20/59,Invoice,23265.83,,23265.83,,0.00,0.00,24688.55,,,24688.55,2953.52,3257.22,3257.22,15220.60,,47954.38
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I60,I/19-20/60,Invoice,19750.57,,19750.57,,0.00,0.00,26529.18,,,26529.19,4926.02,2765.08,2765.08,16073.00,,46279.75
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I66,I/19-20/66,Invoice,20439.21,,20439.21,,0.00,0.00,27743.30,,,27743.31,7108.72,2861.49,2861.49,14911.60,,48182.51
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I67,I/19-20/67,Invoice,14144.81,,14144.81,,0.00,0.00,12908.79,,,12908.79,707.24,1980.27,1980.27,8241.00,,27053.59
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I68,I/19-20/68,Invoice,14144.81,,14144.81,,0.00,0.00,12908.79,,,12908.79,707.24,1980.27,1980.27,8241.00,,27053.59
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I62,I/19-20/62,Invoice,22792.43,,22792.43,,0.00,0.00,26867.07,,,26867.09,3627.69,3190.94,3190.94,16857.50,,49659.50
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I63,I/19-20/63,Invoice,20904.29,,20904.29,,0.00,0.00,20633.42,,,20633.42,1045.21,2926.60,2926.60,13735.00,,41537.71
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I64,I/19-20/64,Invoice,17391.63,,17391.63,,0.00,0.00,22479.42,,,22479.42,2301.76,2434.83,2434.83,15308.00,,39871.05
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I65,I/19-20/65,Invoice,17324.75,,17324.75,,0.00,0.00,23597.84,,,23597.84,6236.91,2425.47,2425.47,12510.00,,40922.60
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I76,I/19-20/76,Invoice,38842.24,,38842.24,,1966.31,0.00,3947.97,,,3947.98,,1973.99,1973.99,,,40823.91
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I69,I/19-20/69,Invoice,20882.56,,20882.56,,0.00,0.00,28161.07,,,28161.07,6056.76,2923.56,2923.56,16257.20,,49043.64
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I70,I/19-20/70,Invoice,23786.85,,23786.85,,0.00,0.00,25989.93,,,25989.93,3337.61,3330.16,3330.16,15992.00,,49776.79
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I71,I/19-20/71,Invoice,21528.83,,21528.83,,0.00,0.00,25125.93,,,25125.94,3582.76,3014.04,3014.04,15515.10,,46654.76
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I72,I/19-20/72,Invoice,22669.58,,22669.58,,0.00,0.00,26268.91,,,26268.92,4713.93,3173.74,3173.74,15207.50,,48938.49
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I73,I/19-20/73,Invoice,4381.45,,4381.45,,0.00,0.00,6060.01,,,6060.02,1293.21,613.40,613.40,3540.00,,10441.46
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I74,I/19-20/74,Invoice,17324.75,,17324.75,,0.00,0.00,23597.84,,,23597.85,6236.91,2425.47,2425.47,12510.00,,40922.60
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,I75,I/19-20/75,Invoice,16952.58,,16952.58,,0.00,0.00,18295.44,,,18295.45,1563.72,2373.36,2373.36,11985.00,,35248.03
12/08/2019,397940.13,,397940.13,0.00,0.00,0.00,1966.31,0.00,427148.46,,,427148.55,253516.00,69137.08,52247.69,52247.69,,823122.30,GrandTotal:,,,397940.13,0.00,397940.13,0.00,1966.31,0.00,427148.46,0.00,0.00,427148.55,69137.08,52247.69,52247.69,253516.00,0.00,823122.30
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I79,I/19-20/79,Invoice,14312.95,,14312.95,,0.00,0.00,16448.96,,,16448.97,1431.74,2003.81,2003.81,11009.60,,30761.90
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I81,I/19-20/81,Invoice,9587.59,,9587.59,,0.00,0.00,11258.64,,,11258.64,1553.51,1342.26,1342.26,7020.60,,20846.23
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I82,I/19-20/82,Invoice,31872.47,,31872.47,,0.00,0.00,38586.14,,,38586.14,7280.64,4462.15,4462.15,22381.20,,70458.61
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I85,I/19-20/85,Invoice,23756.72,,23756.72,,0.00,0.00,27672.23,,,27672.24,4031.35,3325.94,3325.94,16989.00,,51428.94
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I90,SR/19-20/1,Sales Return Saleable,-1270.81,,-1270.81,,0.00,0.00,-1457.37,,,-1457.37,-63.54,-177.91,-177.91,-1038.00,,-2728.18
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I93,I/19-20/92,Invoice,21347.20,,21347.20,,0.00,0.00,28593.25,,,28593.25,6438.03,2988.61,2988.61,16178.00,,49940.45
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I94,I/19-20/93,Invoice,16633.08,,16633.08,,0.00,0.00,21561.36,,,21561.37,4412.10,2328.63,2328.63,12492.00,,38194.44
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I95,I/19-20/94,Invoice,10489.85,,10489.85,,0.00,0.00,12168.88,,,12168.88,2314.72,1468.58,1468.58,6917.00,,22658.73
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I96,I/19-20/95,Invoice,9961.09,,9961.09,,0.00,0.00,11678.48,,,11678.48,1564.37,1394.55,1394.55,7325.00,,21639.57
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I92,I/19-20/91,Invoice,20990.76,,20990.76,,0.00,0.00,28959.63,,,28959.63,6420.21,2938.71,2938.71,16662.00,,49950.39
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I83,I/19-20/83,Invoice,7161.80,,7161.80,,0.00,0.00,8228.08,,,8228.08,1074.18,1002.65,1002.65,5148.60,,15389.88
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I86,I/19-20/86,Invoice,20789.71,,20789.71,,0.00,0.00,28317.41,,,28317.41,7484.29,2910.56,2910.56,15012.00,,49107.12
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I88,I/19-20/88,Invoice,25932.14,,25932.14,,0.00,0.00,23666.11,,,23666.11,1296.61,3630.50,3630.50,15108.50,,49598.25
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I91,I/19-20/90,Invoice,22346.60,,22346.60,,0.00,0.00,27033.38,,,27033.38,1117.33,3128.52,3128.52,19659.00,,49379.97
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I97,I/19-20/96,Invoice,17324.75,,17324.75,,0.00,0.00,23597.84,,,23597.84,6236.91,2425.47,2425.47,12510.00,,40922.60
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I98,I/19-20/97,Invoice,11549.84,,11549.84,,0.00,0.00,15731.90,,,15731.90,4157.94,1616.98,1616.98,8340.00,,27281.73
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I99,I/19-20/98,Invoice,20704.50,,20704.50,,0.00,0.00,27460.16,,,27460.16,6405.90,2898.63,2898.63,15257.00,,48164.66
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I100,I/19-20/99,Invoice,23942.17,,23942.17,,0.00,0.00,25770.14,,,25770.15,2987.33,3351.90,3351.90,16079.00,,49712.31
13/08/2019,453645.56,,453645.56,0.00,1270.81,0.00,0.00,0.00,554249.49,,,554249.58,342358.70,84870.03,63510.38,63510.38,,1007895.04,I101,I/19-20/100,Invoice,5869.92,,5869.92,,0.00,0.00,5876.12,,,5876.12,651.54,821.79,821.79,3581.00,,11746.03
