ID,Node,Action,ActionData,Description,Parent,Parameters,Image,SelectedImage,FormatID,DetailCommand,KeyType,Inactive,ForwardParam,PrintType,PrintWidth,GroupBy,SubTotals,SubTotalLabel,NoSubTotals,ColumnWidth,Header,Footer,TopLineBreak,BottomLineBreak,PageLength,TopMargin,BottomMargin,"Insert Into  ReportData(ID,Node,Action,ActionData,Description,Parent,Parameters,Image,SelectedImage,FormatID,DetailCommand,KeyType,Inactive,ForwardParam,PrintType,PrintWidth,GroupBy,SubTotals,SubTotalLabel,NoSubTotals,ColumnWidth,Header,Footer,TopLineBreak,BottomLineBreak,PageLength,TopMargin,BottomMargin)"
11,Vendors,1,spr_list_vendors,Click to view a list of vendors,4,0,1,2,0,69,200,0,0,0,100,0,,,0,,,,0,0,0,0,0,"SELECT 11,'Vendors',1,'spr_list_vendors','Click to view a list of vendors',4,0,1,2,0,69,200,0,0,0,100,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
12,Manufacturers,1,spr_list_manufacturers,Click to view a list of manufacturers,4,0,1,2,0,0,3,0,0,0,50,0,,,0,,,,0,0,0,0,0,"SELECT 12,'Manufacturers',1,'spr_list_manufacturers','Click to view a list of manufacturers',4,0,1,2,0,0,3,0,0,0,50,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
13,Division,1,spr_list_brands,Click to view a list of Division,4,0,1,2,0,0,3,0,0,0,73,0,,,0,,,,0,0,0,0,0,"SELECT 13,'Division',1,'spr_list_brands','Click to view a list of Division',4,0,1,2,0,0,3,0,0,0,73,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
14,Salesman,1,spr_list_salesman,Click to view a list of salesman,4,0,1,2,0,92,3,0,0,25,120,0,,,0,,,,0,0,0,0,0,"SELECT 14,'Salesman',1,'spr_list_salesman','Click to view a list of salesman',4,0,1,2,0,92,3,0,0,25,120,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
15,Tax,1,spr_list_tax_ITC,Click o view a list of tax codes,4,285,1,2,0,0,3,0,0,0,58,0,,,0,,,,0,0,0,0,0,"SELECT 15,'Tax',1,'spr_list_tax_ITC','Click o view a list of tax codes',4,285,1,2,0,0,3,0,0,0,58,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
16,Area,1,spr_list_areas,Click to view a list of areas,4,0,1,2,0,0,3,0,0,0,36,0,,,0,,,,0,0,0,0,0,"SELECT 16,'Area',1,'spr_list_areas','Click to view a list of areas',4,0,1,2,0,0,3,0,0,0,36,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
17,Received PO,1,spr_list_receivedpo,Click to view a list of all received pos,433,1,1,2,0,20,3,0,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 17,'Received PO',1,'spr_list_receivedpo','Click to view a list of all received pos',433,1,1,2,0,20,3,0,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
18,Sales Confirmation,1,spr_list_salesorder,Click to view a list of sales order,433,1,1,2,0,19,3,0,0,0,111,0,,,0,,,,0,0,0,0,0,"SELECT 18,'Sales Confirmation',1,'spr_list_salesorder','Click to view a list of sales order',433,1,1,2,0,19,3,0,0,0,111,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
19,Sales Order Items,2,spr_list_soitems,,18,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 19,'Sales Order Items',2,'spr_list_soitems','',18,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
20,Received PO Items,2,spr_list_received_poitems,,17,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 20,'Received PO Items',2,'spr_list_received_poitems','',17,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
21,Dispatch Note,1,spr_list_dispatchnote,Click to view a list of dispatch notes made.,433,1,1,2,0,22,3,0,0,0,100,0,,,0,,,,0,0,0,0,0,"SELECT 21,'Dispatch Note',1,'spr_list_dispatchnote','Click to view a list of dispatch notes made.',433,1,1,2,0,22,3,0,0,0,100,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
22,Dispatch Items,2,spr_list_items_in_dispatch,,21,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 22,'Dispatch Items',2,'spr_list_items_in_dispatch','',21,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
23,Invoices,1,spr_list_invoices_MUOM_ITC,Click to view a list of invoices,433,639,1,2,0,24,200,0,4,0,170,0,,,0,,,,0,0,0,0,0,"SELECT 23,'Invoices',1,'spr_list_invoices_MUOM_ITC','Click to view a list of invoices',433,639,1,2,0,24,200,0,4,0,170,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
24,Invoice Items (Dispatch),2,spr_list_items_in_invoice_MUOM_ITC,,23,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 24,'Invoice Items (Dispatch)',2,'spr_list_items_in_invoice_MUOM_ITC','',23,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
25,Retail Invoices,1,spr_list_retail_invoices_MUOM,Click to view a list of retail invoices,433,117,1,2,0,24,3,0,3,0,190,2,5;6;7,SubTotal:;GrandTotal:,1,,,,0,0,0,0,0,"SELECT 25,'Retail Invoices',1,'spr_list_retail_invoices_MUOM','Click to view a list of retail invoices',433,117,1,2,0,24,3,0,3,0,190,2,'5;6;7','SubTotal:;GrandTotal:',1,'','','',0,0,0,0,0 UNION ALL"
26,Purchase Orders,1,spr_list_purchase_orders,Click to view a list of purchase orders,443,1,1,2,0,27,3,1,0,0,121,0,,,0,,,,0,0,0,0,0,"SELECT 26,'Purchase Orders',1,'spr_list_purchase_orders','Click to view a list of purchase orders',443,1,1,2,0,27,3,1,0,0,121,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
27,PO Items,2,spr_list_poitems,,26,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 27,'PO Items',2,'spr_list_poitems','',26,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
28,Customer wise Sales,1,spr_customerwise_sales,Click to view customerwise sales total,438,73,1,2,0,0,3,0,0,0,46,1,2,SubTotal:;GrandTotal:,1,,,,0,0,0,0,0,"SELECT 28,'Customer wise Sales',1,'spr_customerwise_sales','Click to view customerwise sales total',438,73,1,2,0,0,3,0,0,0,46,1,'2','SubTotal:;GrandTotal:',1,'','','',0,0,0,0,0 UNION ALL"
29,Top 25 Customers,1,spr_top_customers,Click to view a list of your top customers,438,73,1,2,0,0,3,0,0,0,46,0,,,0,,,,0,0,0,0,0,"SELECT 29,'Top 25 Customers',1,'spr_top_customers','Click to view a list of your top customers',438,73,1,2,0,0,3,0,0,0,46,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
30,Goods receipt notes,1,spr_list_goods_received_note,Click to view a list of goods received notes,443,2,1,2,0,31,3,0,0,0,111,0,,,0,,,,0,0,0,0,0,"SELECT 30,'Goods receipt notes',1,'spr_list_goods_received_note','Click to view a list of goods received notes',443,2,1,2,0,31,3,0,0,0,111,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
31,GRN Items,2,spr_list_grn_items,,30,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 31,'GRN Items',2,'spr_list_grn_items','',30,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
32,Purchase Bills,1,spr_list_bills_ITC,Click to view a list of bills,443,635,1,2,0,33,200,0,3,0,166,0,,,0,1.44E+143,,,0,0,0,0,0,"SELECT 32,'Purchase Bills',1,'spr_list_bills_ITC','Click to view a list of bills',443,635,1,2,0,33,200,0,3,0,166,0,'','',0,'1.44E+143','','',0,0,0,0,0 UNION ALL"
33,Bill Items,2,spr_list_bill_items_ITC,,32,0,1,2,0,0,3,1,0,0,136,0,,,1,1.44E+148,,,0,0,0,0,0,"SELECT 33,'Bill Items',2,'spr_list_bill_items_ITC','',32,0,1,2,0,0,3,1,0,0,136,0,'','',1,'1.44E+148','','',0,0,0,0,0 UNION ALL"
34,Received Invoices,1,spr_list_received_invoices,,3,1,1,2,0,35,3,0,0,0,108,0,,,0,,,,0,0,0,0,0,"SELECT 34,'Received Invoices',1,'spr_list_received_invoices','',3,1,1,2,0,35,3,0,0,0,108,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
35,Received Invoice Items,2,spr_list_received_invoice_items,,34,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 35,'Received Invoice Items',2,'spr_list_received_invoice_items','',34,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
36,Received SC,1,spr_list_received_SO,,3,1,1,2,0,37,3,0,0,0,100,0,,,0,,,,0,0,0,0,0,"SELECT 36,'Received SC',1,'spr_list_received_SO','',3,1,1,2,0,37,3,0,0,0,100,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
37,Received SC Items,2,spr_list_received_SO_items,,36,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 37,'Received SC Items',2,'spr_list_received_SO_items','',36,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
38,Sales Return Invoice,1,spr_list_SalesReturnInvoices_MUOM,,2,117,1,2,0,39,3,0,3,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 38,'Sales Return Invoice',1,'spr_list_SalesReturnInvoices_MUOM','',2,117,1,2,0,39,3,0,3,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
39,Invoice Items(Sales Return),2,spr_list_items_in_invoice_MUOM,,38,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 39,'Invoice Items(Sales Return)',2,'spr_list_items_in_invoice_MUOM','',38,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
40,Invoice Amendment,1,spr_list_BillAmendmentInvoices,,435,577,1,2,0,41,200,0,0,0,160,0,,,0,,,,0,0,0,0,0,"SELECT 40,'Invoice Amendment',1,'spr_list_BillAmendmentInvoices','',435,577,1,2,0,41,200,0,0,0,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
41,Invoice Items(Amended),2,spr_list_items_in_invoice,,40,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 41,'Invoice Items(Amended)',2,'spr_list_items_in_invoice','',40,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
42,Lines Per Call,1,spr_LinesPerCall,,868,317,1,2,0,93,3,0,2,1,120,0,,,0,1.86E+18,,,0,0,0,0,0,"SELECT 42,'Lines Per Call',1,'spr_LinesPerCall','',868,317,1,2,0,93,3,0,2,1,120,0,'','',0,'1860010000000000000','','',0,0,0,0,0 UNION ALL"
43,Sales Day Book,1,spr_list_salesitems_muom,,437,228,1,2,0,82,200,0,4,1,210,0,,,0,,,,0,0,0,0,0,"SELECT 43,'Sales Day Book',1,'spr_list_salesitems_muom','',437,228,1,2,0,82,200,0,4,1,210,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
44,Purchase Return,1,spr_list_StkAdjReturnAbstract_MUOM,,443,132,1,2,0,45,3,0,4,1,110,0,,,0,,,,0,0,0,0,0,"SELECT 44,'Purchase Return',1,'spr_list_StkAdjReturnAbstract_MUOM','',443,132,1,2,0,45,3,0,4,1,110,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
45,Stock Adjustment Items,2,spr_list_StkAdjRetItems_MUOM,,44,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 45,'Stock Adjustment Items',2,'spr_list_StkAdjRetItems_MUOM','',44,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
46,Stock Alert,1,spr_stock_alert,,1,0,1,2,0,0,3,0,0,0,121,0,,,0,,,,0,0,0,0,0,"SELECT 46,'Stock Alert',1,'spr_stock_alert','',1,0,1,2,0,0,3,0,0,0,121,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
47,Price Variance Report,1,spr_price_variance,,3,1,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 47,'Price Variance Report',1,'spr_price_variance','',3,1,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
48,Stock Adjustment - Others,1,spr_list_stockadjustment,,429,633,1,2,0,49,3,0,3,1,180,0,,,0,,,,0,0,0,0,0,"SELECT 48,'Stock Adjustment - Others',1,'spr_list_stockadjustment','',429,633,1,2,0,49,3,0,3,1,180,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
49,Stock Adjustment Items,2,spr_list_stockadjustmentdetail,,48,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 49,'Stock Adjustment Items',2,'spr_list_stockadjustmentdetail','',48,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
50,Purchase orders - Vendors,1,spr_list_purchase_orders_by_vendor,,446,2,1,2,0,27,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 50,'Purchase orders - Vendors',1,'spr_list_purchase_orders_by_vendor','',446,2,1,2,0,27,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
51,Open PO,1,spr_list_open_purchase_orders,,444,0,1,2,0,27,3,1,0,0,100,0,,,0,,,,0,0,0,0,0,"SELECT 51,'Open PO',1,'spr_list_open_purchase_orders','',444,0,1,2,0,27,3,1,0,0,100,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
52,Closed PO,1,spr_list_closed_purchase_orders,,444,1,1,2,0,27,3,1,0,0,110,0,,,0,,,,0,0,0,0,0,"SELECT 52,'Closed PO',1,'spr_list_closed_purchase_orders','',444,1,1,2,0,27,3,1,0,0,110,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
53,Sales - DSR,1, spr_list_DSR,DSR REPORT,151,5,1,2,0,0,3,0,0,0,136,0,,,1,,,,0,0,0,0,0,"SELECT 53,'Sales - DSR',1,' spr_list_DSR','DSR REPORT',151,5,1,2,0,0,3,0,0,0,136,0,'','',1,'','','',0,0,0,0,0 UNION ALL"
54,Open GRN,1,spr_list_open_goods_received_note,,444,0,1,2,0,31,3,0,0,0,82,0,,,0,,,,0,0,0,0,0,"SELECT 54,'Open GRN',1,'spr_list_open_goods_received_note','',444,0,1,2,0,31,3,0,0,0,82,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
55,Goods Receipts - Itemwise,1,spr_list_itemwise_receipt_MUOM,,446,133,1,2,0,74,200,0,3,1,152,0,,,0,,,,0,0,0,0,0,"SELECT 55,'Goods Receipts - Itemwise',1,'spr_list_itemwise_receipt_MUOM','',446,133,1,2,0,74,200,0,3,1,152,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
56,Purchase Orders - Itemwise,1,spr_list_Itemwise_Purchase_MUOM,,446,117,1,2,0,75,200,1,1,1,136,0,,,0,,,,0,0,0,0,0,"SELECT 56,'Purchase Orders - Itemwise',1,'spr_list_Itemwise_Purchase_MUOM','',446,117,1,2,0,75,200,1,1,1,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
57,Rejected Items,1,spr_list_rejections,,446,1,1,2,0,76,200,0,1,3,73,0,,,0,,,,0,0,0,0,0,"SELECT 57,'Rejected Items',1,'spr_list_rejections','',446,1,1,2,0,76,200,0,1,3,73,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
58,Retail Customers,1,spr_list_retail_customers,,449,0,1,2,0,0,3,0,0,0,120,0,,,0,,,,0,0,0,0,0,"SELECT 58,'Retail Customers',1,'spr_list_retail_customers','',449,0,1,2,0,0,3,0,0,0,120,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
59,Invoices  -  Customer,1,spr_list_invoices_by_customer_abstract,,438,264,1,2,0,79,200,0,2,1,165,0,,,0,,,,0,0,0,0,0,"SELECT 59,'Invoices  -  Customer',1,'spr_list_invoices_by_customer_abstract','',438,264,1,2,0,79,200,0,2,1,165,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
60,Open Dispatches,1,spr_list_open_dispatchnote,,434,0,1,2,0,22,3,0,0,0,63,0,,,0,,,,0,0,0,0,0,"SELECT 60,'Open Dispatches',1,'spr_list_open_dispatchnote','',434,0,1,2,0,22,3,0,0,0,63,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
61,Claims,1,spr_list_claims,,443,83,1,2,0,62,3,0,0,0,145,0,,,0,,,,0,0,0,0,0,"SELECT 61,'Claims',1,'spr_list_claims','',443,83,1,2,0,62,3,0,0,0,145,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
62,Claim Items,2,spr_list_claimsdetail,,61,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 62,'Claim Items',2,'spr_list_claimsdetail','',61,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
63,Claims - Vendorwise,1,spr_list_claims_by_vendor,,443,2,1,2,0,62,3,0,0,1,136,0,,,0,,,,0,0,0,0,0,"SELECT 63,'Claims - Vendorwise',1,'spr_list_claims_by_vendor','',443,2,1,2,0,62,3,0,0,1,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
64,Stock Ledger - Item,1,spr_list_stock_ledger_by_item,,428,61,1,2,0,0,3,0,0,0,190,0,,,0,,,,0,0,0,0,0,"SELECT 64,'Stock Ledger - Item',1,'spr_list_stock_ledger_by_item','',428,61,1,2,0,0,3,0,0,0,190,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
65,Stock Ledger - Category,1,spr_list_stock_ledger_by_category,,428,8,1,2,0,71,3,0,2,1,225,0,,,0,,,,0,0,0,0,0,"SELECT 65,'Stock Ledger - Category',1,'spr_list_stock_ledger_by_category','',428,8,1,2,0,71,3,0,2,1,225,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
66,Stock ledger - Brand,1,spr_list_Stock_ledger_by_brand,,428,341,1,2,0,72,3,0,2,1,225,0,,,0,,,,0,0,58,3,3,"SELECT 66,'Stock ledger - Brand',1,'spr_list_Stock_ledger_by_brand','',428,341,1,2,0,72,3,0,2,1,225,0,'','',0,'','','',0,0,58,3,3 UNION ALL"
67,Stock Legder - Manufacturer,1,spr_list_stock_ledger_by_mfr,,428,10,1,2,0,73,3,0,2,1,225,0,,,0,,,,0,0,0,0,0,"SELECT 67,'Stock Legder - Manufacturer',1,'spr_list_stock_ledger_by_mfr','',428,10,1,2,0,73,3,0,2,1,225,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
68,List Customer Detail,2,spr_list_Customer_Detail_ITC,,10,0,1,2,0,0,200,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 68,'List Customer Detail',2,'spr_list_Customer_Detail_ITC','',10,0,1,2,0,0,200,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
69,List Vendor Details,2,spr_list_vendor_Detail,,11,0,1,2,0,0,200,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 69,'List Vendor Details',2,'spr_list_vendor_Detail','',11,0,1,2,0,0,200,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
70,DS - GGRR,1, spr_DS_GGRR,DS - GGRR,151,522,1,2,0,0,3,0,0,0,136,0,,,1,,,,0,0,0,0,0,"SELECT 70,'DS - GGRR',1,' spr_DS_GGRR','DS - GGRR',151,522,1,2,0,0,3,0,0,0,136,0,'','',1,'','','',0,0,0,0,0 UNION ALL"
71,Stock Ledger Item Detail - Category,2,spr_list_stock_ledger_category_details,,65,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 71,'Stock Ledger Item Detail - Category',2,'spr_list_stock_ledger_category_details','',65,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
72,Stock Ledger Item Details - Division,2,spr_list_stock_ledger_brand_details,,66,0,1,2,0,0,3,1,2,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 72,'Stock Ledger Item Details - Division',2,'spr_list_stock_ledger_brand_details','',66,0,1,2,0,0,3,1,2,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
73,Stock Ledger Item Details - Manufacturer,2,spr_list_stock_ledger_manufacturer_details,,67,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 73,'Stock Ledger Item Details - Manufacturer',2,'spr_list_stock_ledger_manufacturer_details','',67,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
74,List Itemwise Receipt - Detail,2,spr_list_itemwise_grn_MUOM,,55,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 74,'List Itemwise Receipt - Detail',2,'spr_list_itemwise_grn_MUOM','',55,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
75,List Itemwise Purchase - Details,2,spr_list_Itemwise_Purchase_Orders_MUOM,,56,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 75,'List Itemwise Purchase - Details',2,'spr_list_Itemwise_Purchase_Orders_MUOM','',56,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
76,List Rejection Detail,0,spr_list_itemwise_rejections,,57,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 76,'List Rejection Detail',0,'spr_list_itemwise_rejections','',57,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
77,Stock Ledger - Vendor,1,spr_list_stock_ledger_by_vendor,,428,11,1,2,0,78,200,0,2,1,225,0,,,0,,,,0,0,0,0,0,"SELECT 77,'Stock Ledger - Vendor',1,'spr_list_stock_ledger_by_vendor','',428,11,1,2,0,78,200,0,2,1,225,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
78,Stock Ledger By Vendor - Detail,2,spr_list_stock_ledger_vendor_details,,77,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 78,'Stock Ledger By Vendor - Detail',2,'spr_list_stock_ledger_vendor_details','',77,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
79,List Customer Invoice Detail,0,spr_list_invoices_by_customer,,59,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 79,'List Customer Invoice Detail',0,'spr_list_invoices_by_customer','',59,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
80,Item wise Sales  - Customers,1,spr_list_SalesItems_category_muom,,437,122,1,2,0,81,200,0,4,1,160,0,,,0,,,,0,0,0,0,0,"SELECT 80,'Item wise Sales  - Customers',1,'spr_list_SalesItems_category_muom','',437,122,1,2,0,81,200,0,4,1,160,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
81,List Itemwise Customer Detail,2,spr_list_itemwise_customer_muom,,80,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 81,'List Itemwise Customer Detail',2,'spr_list_itemwise_customer_muom','',80,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
82,List Sales DayBook Detail,2,spr_list_invoice_sales_muom,,43,0,1,2,0,0,3,1,0,0,136,0,,,0,,,,0,0,0,0,0,"SELECT 82,'List Sales DayBook Detail',2,'spr_list_invoice_sales_muom','',43,0,1,2,0,0,3,1,0,0,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
83,Sales - Item,1,spr_list_sales_by_item_percentage_volume,,437,103,1,2,0,0,200,0,0,1,136,0,,,0,,,,0,0,0,0,0,"SELECT 83,'Sales - Item',1,'spr_list_sales_by_item_percentage_volume','',437,103,1,2,0,0,200,0,0,1,136,0,'','',0,'','','',0,0,0,0,0 UNION ALL"
