ParameterID,ParameterName,ParameterType,DefaultValue,AutoComplete,MultipleInput,OrderBy,DynamicParamID,"insert into ParameterInfo_Salem( ParameterID,ParameterName,ParameterType,DefaultValue,AutoComplete,MultipleInput,OrderBy,DynamicParamID)",
9,Division,200,$All Divisions,Brand:BrandName,1,0,0,"Select 9,'Division',200,'$All Divisions','Brand:BrandName',1,'0','0' UNION ALL",
9,Date,7,$Date,,0,0,0,"Select 9,'Date',7,'$Date','',0,'0','0' UNION ALL",
9,Show,200,$All Items,QueryParams1:[Values],0,0,0,"Select 9,'Show',200,'$All Items','QueryParams1:[Values]',0,'0','0' UNION ALL",
9,Stock Valuation,200,PTS,QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%'',0,0,0,"Select 9,'Stock Valuation',200,'PTS','QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%''',0,'0','0' UNION ALL",
9,Item Code,200,$All Item Code,Items:Product_Code:ProductName+1,1,0,0,"Select 9,'Item Code',200,'$All Item Code','Items:Product_Code:ProductName+1',1,'0','0' UNION ALL",
9,Item Name,200,$All Item Name,Items:ProductName:Product_Code-1,1,0,0,"Select 9,'Item Name',200,'$All Item Name','Items:ProductName:Product_Code-1',1,'0','0' UNION ALL",
10,Manufacturer,200,$All Manufacturers,Manufacturer:Manufacturer_Name,1,0,0,"Select 10,'Manufacturer',200,'$All Manufacturers','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
10,Date,7,$Date,,0,0,0,"Select 10,'Date',7,'$Date','',0,'0','0' UNION ALL",
10,Show,200,$All Items,QueryParams1:[Values],0,0,0,"Select 10,'Show',200,'$All Items','QueryParams1:[Values]',0,'0','0' UNION ALL",
10,Stock Valuation,200,PTS,QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%'',0,0,0,"Select 10,'Stock Valuation',200,'PTS','QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%''',0,'0','0' UNION ALL",
10,Item Code,200,$All Item Code,Items:Product_Code:ProductName+1,1,0,0,"Select 10,'Item Code',200,'$All Item Code','Items:Product_Code:ProductName+1',1,'0','0' UNION ALL",
10,Item Name,200,$All Item Name,Items:ProductName:Product_Code-1,1,0,0,"Select 10,'Item Name',200,'$All Item Name','Items:ProductName:Product_Code-1',1,'0','0' UNION ALL",
11,Vendor,200,$All Vendors,Vendors:Vendor_Name,1,0,0,"Select 11,'Vendor',200,'$All Vendors','Vendors:Vendor_Name',1,'0','0' UNION ALL",
11,Show,200,$All Items,QueryParams1:[Values],0,0,0,"Select 11,'Show',200,'$All Items','QueryParams1:[Values]',0,'0','0' UNION ALL",
11,Stock Valuation,200,PTS,QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%'',0,0,0,"Select 11,'Stock Valuation',200,'PTS','QueryParams:[Values]:QueryParamID in (6;15) And  [Values] Not in ( ''PTSS'') And [Values] Like ''%''',0,'0','0' UNION ALL",
11,Item Code,200,$All Item Code,Items:Product_Code:ProductName+1,1,0,0,"Select 11,'Item Code',200,'$All Item Code','Items:Product_Code:ProductName+1',1,'0','0' UNION ALL",
11,Item Name,200,$All Item Name,Items:ProductName:Product_Code-1,1,0,0,"Select 11,'Item Name',200,'$All Item Name','Items:ProductName:Product_Code-1',1,'0','0' UNION ALL",
12,Property,200,$All Properties,Properties:Property_Name,1,0,0,"Select 12,'Property',200,'$All Properties','Properties:Property_Name',1,'0','0' UNION ALL",
13,Category,200,$All Categories,ItemCategories:Category_Name,1,0,0,"Select 13,'Category',200,'$All Categories','ItemCategories:Category_Name',1,'0','0' UNION ALL",
13,From Date,7,$Date,,0,0,0,"Select 13,'From Date',7,'$Date','',0,'0','0' UNION ALL",
13,To Date,10,$Date,,0,0,0,"Select 13,'To Date',10,'$Date','',0,'0','0' UNION ALL",
13,Cut-Off A,3,0,,0,0,0,"Select 13,'Cut-Off A',3,'0','',0,'0','0' UNION ALL",
13,Cut-Off B,3,0,,0,0,0,"Select 13,'Cut-Off B',3,'0','',0,'0','0' UNION ALL",
14,Beat,200,$All Beats,Beat:Description,1,0,0,"Select 14,'Beat',200,'$All Beats','Beat:Description',1,'0','0' UNION ALL",
14,From Date,7,$Date,,0,0,0,"Select 14,'From Date',7,'$Date','',0,'0','0' UNION ALL",
14,To Date,10,$Date,,0,0,0,"Select 14,'To Date',10,'$Date','',0,'0','0' UNION ALL",
15,Use Average Sales of,200,1 Month,QueryParams:[Values]:QueryParamID=1 And [Values] like ''%'',0,0,0,"Select 15,'Use Average Sales of',200,'1 Month','QueryParams:[Values]:QueryParamID=1 And [Values] like ''%''',0,'0','0' UNION ALL",
16,Units,200,Sales UOM,QueryParams2:[Values],0,0,0,"Select 16,'Units',200,'Sales UOM','QueryParams2:[Values]',0,'0','0' UNION ALL",
16,From Date,7,$Date,,0,0,0,"Select 16,'From Date',7,'$Date','',0,'0','0' UNION ALL",
16,To Date,10,$Date,,0,0,0,"Select 16,'To Date',10,'$Date','',0,'0','0' UNION ALL",
16,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,0,0,"Select 16,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'0','0' UNION ALL",
17,From Date,7,$Date,,0,0,0,"Select 17,'From Date',7,'$Date','',0,'0','0' UNION ALL",
17,To Date,10,$Date,,0,0,0,"Select 17,'To Date',10,'$Date','',0,'0','0' UNION ALL",
17,Category,200,$All Categories,ItemCategories:Category_Name,1,0,0,"Select 17,'Category',200,'$All Categories','ItemCategories:Category_Name',1,'0','0' UNION ALL",
18,Sales Officer,200,$All Sales Officer,Salesman2:SalesmanName,1,0,0,"Select 18,'Sales Officer',200,'$All Sales Officer','Salesman2:SalesmanName',1,'0','0' UNION ALL",
18,From Date,7,$Date,,0,0,0,"Select 18,'From Date',7,'$Date','',0,'0','0' UNION ALL",
18,To Date,10,$Date,,0,0,0,"Select 18,'To Date',10,'$Date','',0,'0','0' UNION ALL",
19,Salesman,200,$All Salesman,Salesman:Salesman_Name,1,0,0,"Select 19,'Salesman',200,'$All Salesman','Salesman:Salesman_Name',1,'0','0' UNION ALL",
19,From Date,7,$Date,,0,0,0,"Select 19,'From Date',7,'$Date','',0,'0','0' UNION ALL",
19,To Date,10,$Date,,0,0,0,"Select 19,'To Date',10,'$Date','',0,'0','0' UNION ALL",
20,Beat,200,$All Beats,Beat:Description,1,0,0,"Select 20,'Beat',200,'$All Beats','Beat:Description',1,'0','0' UNION ALL",
20,Salesman,200,$All Salesman,Salesman:Salesman_Name,1,0,0,"Select 20,'Salesman',200,'$All Salesman','Salesman:Salesman_Name',1,'0','0' UNION ALL",
20,From Date,7,$Date,,0,0,0,"Select 20,'From Date',7,'$Date','',0,'0','0' UNION ALL",
20,To Date,10,$Date,,0,0,0,"Select 20,'To Date',10,'$Date','',0,'0','0' UNION ALL",
21,Salesman,200,$All Salesman,Salesman:Salesman_Name,1,0,0,"Select 21,'Salesman',200,'$All Salesman','Salesman:Salesman_Name',1,'0','0' UNION ALL",
21,From InvoiceNo,200,,,0,0,0,"Select 21,'From InvoiceNo',200,'','',0,'0','0' UNION ALL",
21,To InvoiceNo,200,,,0,0,0,"Select 21,'To InvoiceNo',200,'','',0,'0','0' UNION ALL",
22,Division,200,$All Divisions,Brand;  Manufacturer:BrandName:Brand.ManufacturerID = Manufacturer.ManufacturerID And  Manufacturer.Manufacturer_Name Like ''%s%'',1,0,0,"Select 22,'Division',200,'$All Divisions','Brand;  Manufacturer:BrandName:Brand.ManufacturerID = Manufacturer.ManufacturerID And  Manufacturer.Manufacturer_Name Like ''%s%''',1,'0','0' UNION ALL",
22,From Date,7,$Date,,0,0,0,"Select 22,'From Date',7,'$Date','',0,'0','0' UNION ALL",
22,To Date,10,$Date,,0,0,0,"Select 22,'To Date',10,'$Date','',0,'0','0' UNION ALL",
22,Manufacturer,200,$All Manufacturer,Manufacturer:Manufacturer_Name,1,0,0,"Select 22,'Manufacturer',200,'$All Manufacturer','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
23,Salesman,200,$All Salesman,Salesman:Salesman_Name,1,0,0,"Select 23,'Salesman',200,'$All Salesman','Salesman:Salesman_Name',1,'0','0' UNION ALL",
23,From Invoice,200,,,0,0,0,"Select 23,'From Invoice',200,'','',0,'0','0' UNION ALL",
23,To Invoice,200,,,0,0,0,"Select 23,'To Invoice',200,'','',0,'0','0' UNION ALL",
23,From Date,7,$Date,,0,0,0,"Select 23,'From Date',7,'$Date','',0,'0','0' UNION ALL",
23,To Date,10,$Date,,0,0,0,"Select 23,'To Date',10,'$Date','',0,'0','0' UNION ALL",
24,<= Quantity,3,0,,0,0,0,"Select 24,'<= Quantity',3,'0','',0,'0','0' UNION ALL",
24,UOM,200,Sales UOM,QueryParams2:[Values],0,0,0,"Select 24,'UOM',200,'Sales UOM','QueryParams2:[Values]',0,'0','0' UNION ALL",
25,Salesman,200,$All Salesman,Salesman:Salesman_Name,1,0,0,"Select 25,'Salesman',200,'$All Salesman','Salesman:Salesman_Name',1,'0','0' UNION ALL",
25,Commission,5,0,,0,0,0,"Select 25,'Commission',5,'0','',0,'0','0' UNION ALL",
25,From Date,7,$Date,,0,0,0,"Select 25,'From Date',7,'$Date','',0,'0','0' UNION ALL",
25,To Date,10,$Date,,0,0,0,"Select 25,'To Date',10,'$Date','',0,'0','0' UNION ALL",
26,Manufacturer,200,$All Manufacturers,Manufacturer:Manufacturer_Name,1,0,0,"Select 26,'Manufacturer',200,'$All Manufacturers','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
26,Item Code,200,$All Item Code,Items:Product_Code:ProductName+1,1,0,0,"Select 26,'Item Code',200,'$All Item Code','Items:Product_Code:ProductName+1',1,'0','0' UNION ALL",
26,Item Name,200,$All Item Name,Items:ProductName:Product_Code-1,1,0,0,"Select 26,'Item Name',200,'$All Item Name','Items:ProductName:Product_Code-1',1,'0','0' UNION ALL",
26,Units,200,Base UOM,QueryParams:[Values]:    QueryParamID In(19)  And  [Values] Not In (''UOM 1'';''UOM 2'') And [Values] Like''%'',0,0,0,"Select 26,'Units',200,'Base UOM','QueryParams:[Values]:    QueryParamID In(19)  And  [Values] Not In (''UOM 1'';''UOM 2'') And [Values] Like''%''',0,'0','0' UNION ALL",
26,From Date,7,$Date,,0,0,0,"Select 26,'From Date',7,'$Date','',0,'0','0' UNION ALL",
26,To Date,10,$Date,,0,0,0,"Select 26,'To Date',10,'$Date','',0,'0','0' UNION ALL",
27,CustomerID,200,$All Customers,Customer:CustomerID:Company_Name+1,1,0,0,"Select 27,'CustomerID',200,'$All Customers','Customer:CustomerID:Company_Name+1',1,'0','0' UNION ALL",
27,Customer,200,$All Customers,Customer:Company_Name:CustomerID-1,1,0,0,"Select 27,'Customer',200,'$All Customers','Customer:Company_Name:CustomerID-1',1,'0','0' UNION ALL",
27,From Date,7,$Date,,0,0,0,"Select 27,'From Date',7,'$Date','',0,'0','0' UNION ALL",
27,To Date,10,$Date,,0,0,0,"Select 27,'To Date',10,'$Date','',0,'0','0' UNION ALL",
28,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,0,0,"Select 28,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'0','0' UNION ALL",
28,Category,200,$All Categories,ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%'',1,0,0,"Select 28,'Category',200,'$All Categories','ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%''',1,'0','0' UNION ALL",
28,Units,200,Sales UOM,QueryParams2:[Values],0,0,0,"Select 28,'Units',200,'Sales UOM','QueryParams2:[Values]',0,'0','0' UNION ALL",
28,FromDate,7,$Date,,0,0,0,"Select 28,'FromDate',7,'$Date','',0,'0','0' UNION ALL",
28,ToDate,10,$Date,,0,0,0,"Select 28,'ToDate',10,'$Date','',0,'0','0' UNION ALL",
29,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,0,0,"Select 29,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'0','0' UNION ALL",
29,Category,200,$All Categories,ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%'',1,0,0,"Select 29,'Category',200,'$All Categories','ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%''',1,'0','0' UNION ALL",
29,Units,200,Sales UOM,QueryParams2:[Values],0,0,0,"Select 29,'Units',200,'Sales UOM','QueryParams2:[Values]',0,'0','0' UNION ALL",
29,Reference FromDate,7,$Date,,0,0,0,"Select 29,'Reference FromDate',7,'$Date','',0,'0','0' UNION ALL",
29,Reference ToDate,10,$Date,,0,0,0,"Select 29,'Reference ToDate',10,'$Date','',0,'0','0' UNION ALL",
29,Comparative FromDate,7,$Date,,0,0,0,"Select 29,'Comparative FromDate',7,'$Date','',0,'0','0' UNION ALL",
29,Comparative ToDate,10,$Date,,0,0,0,"Select 29,'Comparative ToDate',10,'$Date','',0,'0','0' UNION ALL",
30,Manufacturer,200,$All Manufacturer,Manufacturer:Manufacturer_Name,1,0,0,"Select 30,'Manufacturer',200,'$All Manufacturer','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
30,Division,200,$All Divisions,Brand:BrandName,1,0,0,"Select 30,'Division',200,'$All Divisions','Brand:BrandName',1,'0','0' UNION ALL",
31,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,0,0,"Select 31,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'0','0' UNION ALL",
31,Category,200,$All Categories,ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%'',0,0,0,"Select 31,'Category',200,'$All Categories','ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%''',0,'0','0' UNION ALL",
31,Channel,200,$All Channel,Customer_Channel:ChannelDesc,0,0,0,"Select 31,'Channel',200,'$All Channel','Customer_Channel:ChannelDesc',0,'0','0' UNION ALL",
31,Beat,200,$All Beats,Beat:Description,0,0,0,"Select 31,'Beat',200,'$All Beats','Beat:Description',0,'0','0' UNION ALL",
31,FromDate,7,$Date,,0,0,0,"Select 31,'FromDate',7,'$Date','',0,'0','0' UNION ALL",
31,To Date,10,$Date,,0,0,0,"Select 31,'To Date',10,'$Date','',0,'0','0' UNION ALL",
32,Manufacturer,200,$All Manufacturer,Manufacturer:Manufacturer_Name,1,0,0,"Select 32,'Manufacturer',200,'$All Manufacturer','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
32,Division,200,$All Divisions,Brand:BrandName,1,0,0,"Select 32,'Division',200,'$All Divisions','Brand:BrandName',1,'0','0' UNION ALL",
32,From Date,7,$Date,,0,0,0,"Select 32,'From Date',7,'$Date','',0,'0','0' UNION ALL",
32,To Date,10,$Date,,0,0,0,"Select 32,'To Date',10,'$Date','',0,'0','0' UNION ALL",
33,Category,200,$All Categories,ItemCategories:Category_Name,1,0,0,"Select 33,'Category',200,'$All Categories','ItemCategories:Category_Name',1,'0','0' UNION ALL",
33,Beat,200,$All Beats,Beat:Description,1,0,0,"Select 33,'Beat',200,'$All Beats','Beat:Description',1,'0','0' UNION ALL",
33,From Date,7,$Date,,0,0,0,"Select 33,'From Date',7,'$Date','',0,'0','0' UNION ALL",
33,To Date,10,$Date,,0,0,0,"Select 33,'To Date',10,'$Date','',0,'0','0' UNION ALL",
34,From Date,7,$Date,,0,0,0,"Select 34,'From Date',7,'$Date','',0,'0','0' UNION ALL",
34,To Date,10,$Date,,0,0,0,"Select 34,'To Date',10,'$Date','',0,'0','0' UNION ALL",
34,Document Type,200,$All Document Type,TransactionDocNumber:[DocumentType]:TransactionType=1 and DocumentType like ''%'',0,0,0,"Select 34,'Document Type',200,'$All Document Type','TransactionDocNumber:[DocumentType]:TransactionType=1 and DocumentType like ''%''',0,'0','0' UNION ALL",
35,Manufacturer,200,$All Manufacturer,Manufacturer:Manufacturer_Name,1,0,0,"Select 35,'Manufacturer',200,'$All Manufacturer','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
35,Item,200,$All Items,Items:Product_Code,1,0,0,"Select 35,'Item',200,'$All Items','Items:Product_Code',1,'0','0' UNION ALL",
35,From Date,7,$Date,,0,0,0,"Select 35,'From Date',7,'$Date','',0,'0','0' UNION ALL",
35,To Date,10,$Date,,0,0,0,"Select 35,'To Date',10,'$Date','',0,'0','0' UNION ALL",
36,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,0,0,"Select 36,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'0','0' UNION ALL",
36,Category,200,$All Categories,ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'',0,0,0,"Select 36,'Category',200,'$All Categories','ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%''',0,'0','0' UNION ALL",
36,Beat,200,$All Beats,Beat:Description,0,0,0,"Select 36,'Beat',200,'$All Beats','Beat:Description',0,'0','0' UNION ALL",
36,From Date,7,$Date,,0,0,0,"Select 36,'From Date',7,'$Date','',0,'0','0' UNION ALL",
36,To Date,10,$Date,,0,0,0,"Select 36,'To Date',10,'$Date','',0,'0','0' UNION ALL",
36,CustomerID,200,$All Customers,Customer:CustomerID:Company_Name+1,0,0,0,"Select 36,'CustomerID',200,'$All Customers','Customer:CustomerID:Company_Name+1',0,'0','0' UNION ALL",
36,Customer,200,$All Customers,Customer:Company_Name:CustomerID-1,0,0,0,"Select 36,'Customer',200,'$All Customers','Customer:Company_Name:CustomerID-1',0,'0','0' UNION ALL",
37,Beat,200,$All Beats,Beat:Description,1,0,0,"Select 37,'Beat',200,'$All Beats','Beat:Description',1,'0','0' UNION ALL",
38,Item Code,200,$All Items,Items:Product_Code:CategoryID In (Select * From dbo.GetItems({$2})) And Product_code Like ''%'',1,0,0,"Select 38,'Item Code',200,'$All Items','Items:Product_Code:CategoryID In (Select * From dbo.GetItems({$2})) And Product_code Like ''%''',1,'0','0' UNION ALL",
38,Customer Type,200,Trade,QueryParams:[Values]:QueryParamID=10 And [Values] Like ''%'',0,0,0,"Select 38,'Customer Type',200,'Trade','QueryParams:[Values]:QueryParamID=10 And [Values] Like ''%''',0,'0','0' UNION ALL",
38,From Date,7,$Date,,0,0,0,"Select 38,'From Date',7,'$Date','',0,'0','0' UNION ALL",
38,To Date,10,$Date,,0,0,0,"Select 38,'To Date',10,'$Date','',0,'0','0' UNION ALL",
38,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,HierarchyId,0,"Select 38,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'HierarchyId','0' UNION ALL",
38,Category,200,$All Categories,ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName in ({1}) and Category_Name like ''%'',1,0,0,"Select 38,'Category',200,'$All Categories','ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName in ({1}) and Category_Name like ''%''',1,'0','0' UNION ALL",
39,Product Hierarchy,200,,ItemHierarchy:HierarchyName,0,0,0,"Select 39,'Product Hierarchy',200,'','ItemHierarchy:HierarchyName',0,'0','0' UNION ALL",
39,Category,200,$All Categories,ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%'',1,0,0,"Select 39,'Category',200,'$All Categories','ItemCategories; ItemHierarchy:Category_Name:Level = HierarchyID And HierarchyName Like ''%s%'' and Category_Name like ''%''',1,'0','0' UNION ALL",
39,From Date,7,$Date,,0,0,0,"Select 39,'From Date',7,'$Date','',0,'0','0' UNION ALL",
39,To Date,10,$Date,,0,0,0,"Select 39,'To Date',10,'$Date','',0,'0','0' UNION ALL",
40,To Date,10,$Date,,0,0,0,"Select 40,'To Date',10,'$Date','',0,'0','0' UNION ALL",
40,Weekdays,200,$All,Weekdays:Days,1,0,0,"Select 40,'Weekdays',200,'$All','Weekdays:Days',1,'0','0' UNION ALL",
40,Salesman,200,$All Salesman,Salesman:Salesman_Name,1,0,0,"Select 40,'Salesman',200,'$All Salesman','Salesman:Salesman_Name',1,'0','0' UNION ALL",
41,Show,200,$All Items,QueryParams1:[Values]:[Values] Not in (''All Items'') And [Values] Like ''%'',0,0,0,"Select 41,'Show',200,'$All Items','QueryParams1:[Values]:[Values] Not in (''All Items'') And [Values] Like ''%''',0,'0','0' UNION ALL",
41,From Date,7,$Date,,0,0,0,"Select 41,'From Date',7,'$Date','',0,'0','0' UNION ALL",
41,To Date,10,$Date,,0,0,0,"Select 41,'To Date',10,'$Date','',0,'0','0' UNION ALL",
42,Item,200,$All Items,Items:Product_Code,1,0,0,"Select 42,'Item',200,'$All Items','Items:Product_Code',1,'0','0' UNION ALL",
42,Customer,200,$All Customers,Customer:Company_Name,1,0,0,"Select 42,'Customer',200,'$All Customers','Customer:Company_Name',1,'0','0' UNION ALL",
42,From Date,7,$Date,,0,0,0,"Select 42,'From Date',7,'$Date','',0,'0','0' UNION ALL",
42,To Date,10,$Date,,0,0,0,"Select 42,'To Date',10,'$Date','',0,'0','0' UNION ALL",
43,CompanyID,200,,,0,0,0,"Select 43,'CompanyID',200,'','',0,'0','0' UNION ALL",
43,From Date,7,$Date,,0,0,0,"Select 43,'From Date',7,'$Date','',0,'0','0' UNION ALL",
43,To Date,10,$Date,,0,0,0,"Select 43,'To Date',10,'$Date','',0,'0','0' UNION ALL",
44,Salesman,200,$All Salesman,Salesman:Salesman_name,1,0,0,"Select 44,'Salesman',200,'$All Salesman','Salesman:Salesman_name',1,'0','0' UNION ALL",
44,Sales Return Type,200,$All Returns,QueryParams:[Values]:QueryParamID=2 And [Values] like ''%'',0,0,0,"Select 44,'Sales Return Type',200,'$All Returns','QueryParams:[Values]:QueryParamID=2 And [Values] like ''%''',0,'0','0' UNION ALL",
44,From Date,7,$Date,,0,0,0,"Select 44,'From Date',7,'$Date','',0,'0','0' UNION ALL",
44,To Date,10,$Date,,0,0,0,"Select 44,'To Date',10,'$Date','',0,'0','0' UNION ALL",
45,Item,200,$All Items,QueryParams:[Values]:QueryParamId=4 And [Values] like ''%'',0,0,0,"Select 45,'Item',200,'$All Items','QueryParams:[Values]:QueryParamId=4 And [Values] like ''%''',0,'0','0' UNION ALL",
45,FromDate,7,$Date,,0,0,0,"Select 45,'FromDate',7,'$Date','',0,'0','0' UNION ALL",
45,ToDate,10,$Date,,0,0,0,"Select 45,'ToDate',10,'$Date','',0,'0','0' UNION ALL",
46,Manufacturer,200,$All Manufacturer,Manufacturer:Manufacturer_Name,1,0,0,"Select 46,'Manufacturer',200,'$All Manufacturer','Manufacturer:Manufacturer_Name',1,'0','0' UNION ALL",
46,Item,200,$All Items,Items:Product_Code,1,0,0,"Select 46,'Item',200,'$All Items','Items:Product_Code',1,'0','0' UNION ALL",
46,Batch No,200,$All Batches,Batch_Products:Batch_Number: Batch_Number <> ,0,0,0,"Select 46,'Batch No',200,'$All Batches','Batch_Products:Batch_Number: Batch_Number <> ',0,'0','0' UNION ALL",
46,From Date,7,$Date,,0,0,0,"Select 46,'From Date',7,'$Date','',0,'0','0' UNION ALL",
46,To Date,10,$Date,,0,0,0,"Select 46,'To Date',10,'$Date','',0,'0','0' UNION ALL",
